Fund Name:;State Street® SPDR® S&P® Biotech ETF;;;;;;;;;;
Ticker Symbol:;XBI;;;;;;;;;;
Holdings:;As of 01-Jul-2026;;;;;;;;;;
;;;;;;;;;;;
Name;Ticker;Identifier;SEDOL;Weight;Sector;Shares Held;Local Currency;;;;
"Before investing in a fund, consider its investment objectives, risks, charges, and expenses. A prospectus (and/or summary prospectus) containing this and other information is available here (https://www.ssga.com/us/en/individual/fund-finder) or by calling 1-866-787-2257. Read it carefully.

Not FDIC Insured * No Bank Guarantee * May Lose Value

© 2026 State Street Corporation - All Rights Reserved.
State Street Investment Management, One Congress Street, Boston, MA 02114.

4503082.10.3.AM.RTL
Expiration: 01/31/2027
SPD004409";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
